airport_id,Continent,Country,Region,City,Name,Info,Description,Website,Facebook,X,YouTube,LinkedIn,Email,Phone,IATA,ICAO,Address,logo,background_image,Google_Maps_Link
AP011,South America,Argentina,Buenos Aires,Buenos Aires,Ministro Pistarini International (Ezeiza),EZE - Argentina's international gateway,"Located in Ezeiza, 22km from Buenos Aires",https://www.aa2000.com.ar,https://facebook.com/aa2000.argentina,https://twitter.com/aa2000argentina,https://youtube.com/aa2000,https://linkedin.com/company/aa2000,info@aa2000.com.ar,+54-11-5480-6111,EZE,SAEZ,"Ezeiza, Buenos Aires Province",https://www.aa2000.com.ar/images/logo-eze.svg,https://www.aa2000.com.ar/images/bg-eze-runway.jpg,"https://maps.google.com/?q=34.8222,-58.5358"
AP012,Oceania,New Zealand,South Island,Christchurch,Christchurch International Airport,CHC - Gateway to the South Island,Rebuilt after 2011 earthquakes,https://www.christchurchairport.co.nz,https://facebook.com/christchurchairport,https://twitter.com/CHCAirport,https://youtube.com/christchurchairport,https://linkedin.com/company/christchurch-airport,info@christchurchairport.co.nz,+64-3-358-5029,CHC,NZCH,"740 Airport Terminal Rd, Harewood",https://www.christchurchairport.co.nz/images/logo-chc.png,https://www.christchurchairport.co.nz/images/bg-chc-mountains.jpg,"https://maps.google.com/?q=43.4889,172.5319"
AP013,Europe,Italy,Lazio,Rome,Leonardo da Vinci–Fiumicino Airport,FCO - Italy's busiest airport,Named after Renaissance genius Leonardo da Vinci,https://www.adr.it/fiumicino,https://facebook.com/AdRFiumicino,https://twitter.com/AdR_Fiumicino,https://youtube.com/adrmedia,https://linkedin.com/company/aeroporti-di-roma,customer@adr.it,+39-06-5951,FCO,LIRF,"Via dell'Aeroporto di Fiumicino, 320",https://www.adr.it/images/logo-fco.svg,https://www.adr.it/images/bg-fco-terminal.jpg,"https://maps.google.com/?q=41.8045,12.2518"
AP014,Asia,South Korea,Seoul,Seoul,Incheon International Airport,ICN - Consistently ranked world's best,Opened in 2001 to replace Gimpo,https://www.airport.kr,https://facebook.com/IncheonAirport,https://twitter.com/icnairport,https://youtube.com/IncheonAirport,https://linkedin.com/company/incheon-international-airport,webmaster@airport.kr,+82-32-741-2000,ICN,RKSI,"272 Gonghang-ro, Jung-gu, Incheon",https://www.airport.kr/images/logo-icn.png,https://www.airport.kr/images/bg-icn-hall.jpg,"https://maps.google.com/?q=37.4692,126.4505"
AP015,North America,Mexico,Jalisco,Guadalajara,Guadalajara International Airport,GDL - Western Mexico's main airport,Named after Miguel Hidalgo y Costilla,https://www.oma.aero/en/airports/guadalajara,https://facebook.com/AeropuertoGDL,https://twitter.com/AeropuertoGDL,https://youtube.com/omaairports,https://linkedin.com/company/oma-airports,informacion@oma.aero,+52-33-3688-5241,GDL,MMGL,Carretera Guadalajara - Chapala Km. 16.5,https://www.oma.aero/images/logo-gdl.svg,https://www.oma.aero/images/bg-gdl-terminal.jpg,"https://maps.google.com/?q=20.5218,-103.3109"
AP016,Europe,Spain,Catalonia,Barcelona,Josep Tarradellas Barcelona–El Prat,BCN - Catalonia's main airport,Named after Catalan president Josep Tarradellas,https://www.aena.es/en/barcelona-el-prat.html,https://facebook.com/AENA.BCN,https://twitter.com/Aena_BCN,https://youtube.com/aena,https://linkedin.com/company/aena,bcn.informacion@aena.es,+34-91-321-1000,BCN,LEBL,"El Prat de Llobregat, Barcelona",https://www.aena.es/images/logo-bcn.png,https://www.aena.es/images/bg-bcn-runway.jpg,"https://maps.google.com/?q=41.2974,2.0784"
AP017,Asia,Thailand,Bangkok,Bangkok,Suvarnabhumi Airport,BKK - The 'Golden Land' airport,Replaced Don Mueang as Bangkok's main airport,https://www.suvarnabhumiairport.com,https://facebook.com/SuvarnabhumiAirport,https://twitter.com/suvarnabhumiair,https://youtube.com/suvarnabhumiairport,https://linkedin.com/company/suvarnabhumi-airport,info@suvarnabhumiairport.com,+66-2-132-1888,BKK,VTBS,"999 Suvarnabhumi Airport, Bang Phli District",https://www.suvarnabhumiairport.com/images/logo-bkk.svg,https://www.suvarnabhumiairport.com/images/bg-bkk-hall.jpg,"https://maps.google.com/?q=13.6900,100.7501"
AP018,Africa,Morocco,Casablanca,Casablanca,Mohammed V International Airport,CMN - Morocco's busiest airport,Named after King Mohammed V,https://www.onda.ma,https://facebook.com/ONDA.MA,https://twitter.com/ONDA_MA,https://youtube.com/ondama,https://linkedin.com/company/onda-morocco,contact@onda.ma,+212-522-539040,CMN,GMMN,"Nouaceur Province, Casablanca",https://www.onda.ma/images/logo-cmn.png,https://www.onda.ma/images/bg-cmn-terminal.jpg,"https://maps.google.com/?q=33.3687,-7.5898"
AP019,South America,Chile,Santiago,Santiago,Arturo Merino Benítez International,SCL - Chile's main international airport,Named after Chilean aviation pioneer,https://www.nueva-pudahuel.cl,https://facebook.com/NuevaPudahuel,https://twitter.com/NuevaPudahuel,https://youtube.com/nuevapudahuel,https://linkedin.com/company/nueva-pudahuel,contacto@nueva-pudahuel.cl,+56-2-2272-8500,SCL,SCEL,"Pajaritos 201, Pudahuel, Santiago",https://www.nueva-pudahuel.cl/images/logo-scl.svg,https://www.nueva-pudahuel.cl/images/bg-scl-mountains.jpg,"https://maps.google.com/?q=33.3926,-70.7899"
AP020,Oceania,Fiji,Viti Levu,Nadi,Nadi International Airport,NAN - Main international gateway to Fiji,Located on the main island of Viti Levu,https://www.airportsfiji.com,https://facebook.com/AirportsFijiLimited,https://twitter.com/AirportsFiji,https://youtube.com/airportsfiji,https://linkedin.com/company/airports-fiji-limited,info@airportsfiji.com,+679-672-1344,NAN,NFFN,"Queens Road, Nadi",https://www.airportsfiji.com/images/logo-nan.png,https://www.airportsfiji.com/images/bg-nan-beach.jpg,"https://maps.google.com/?q=17.7564,-177.4450"
AP021,Europe,Sweden,Stockholm,Stockholm,Stockholm Arlanda Airport,ARN - Sweden's largest airport,Located 37 km north of Stockholm,https://www.swedavia.com/arlanda,https://facebook.com/Swedavia,https://twitter.com/Swedavia,https://youtube.com/swedavia,https://linkedin.com/company/swedavia,kundtjanst@swedavia.se,+46-10-109-1000,ARN,ESSA,"Arlanda Norra, 190 45 Stockholm",https://www.swedavia.com/images/logo-arn.svg,https://www.swedavia.com/images/bg-arn-winter.jpg,"https://maps.google.com/?q=59.6519,17.9186"
AP022,Asia,Vietnam,Ho Chi Minh City,Ho Chi Minh City,Tan Son Nhat International Airport,SGN - Vietnam's busiest airport,Built during French colonial era,https://www.southairports.vn,https://facebook.com/SouthAirports,https://twitter.com/SouthAirports,https://youtube.com/southairports,https://linkedin.com/company/south-airports-corporation,info@southairports.vn,+84-28-3848-6666,SGN,VVTS,"Tru?ng Son, Phu?ng 2, Tân Bình",https://www.southairports.vn/images/logo-sgn.png,https://www.southairports.vn/images/bg-sgn-terminal.jpg,"https://maps.google.com/?q=10.8188,106.6524"
AP023,Africa,Egypt,Cairo,Cairo,Cairo International Airport,CAI - Egypt's main international airport,One of the oldest airports in Africa,https://www.cairo-airport.com,https://facebook.com/CairoAirport,https://twitter.com/CairoAirport,https://youtube.com/cairoairport,https://linkedin.com/company/cairo-airport-authority,info@cairo-airport.com,+20-2-2265-5000,CAI,HECA,"Cairo Airport Rd, Heliopolis",https://www.cairo-airport.com/images/logo-cai.svg,https://www.cairo-airport.com/images/bg-cai-pyramids.jpg,"https://maps.google.com/?q=30.1219,31.4056"
AP024,South America,Colombia,Bogotá,Bogotá,El Dorado International Airport,BOG - Latin America's busiest by cargo,Named after the mythical city of gold,https://www.eldorado.aero,https://facebook.com/AeropuertoElDorado,https://twitter.com/AeropuertoBOG,https://youtube.com/eldoradoairport,https://linkedin.com/company/opain,info@eldorado.aero,+57-1-742-2361,BOG,SKBO,"Avenida El Dorado #103-09, Bogotá",https://www.eldorado.aero/images/logo-bog.png,https://www.eldorado.aero/images/bg-bog-mountains.jpg,"https://maps.google.com/?q=4.7016,-74.1469"
AP025,Oceania,Papua New Guinea,National Capital,Port Moresby,Jacksons International Airport,POM - Main international gateway,Named after Australian WW2 pilot,https://www.nacl.com.pg,https://facebook.com/NAConline,https://twitter.com/NAConline,https://youtube.com/naconline,https://linkedin.com/company/nacl,info@nacl.com.pg,+675-325-7277,POM,AYPY,"5 Mile, Port Moresby",https://www.nacl.com.pg/images/logo-pom.svg,https://www.nacl.com.pg/images/bg-pom-terminal.jpg,"https://maps.google.com/?q=-9.4438,147.2202"
AP026,Europe,Norway,Oslo,Oslo,Oslo Gardermoen Airport,OSL - Norway's main international airport,Replaced Fornebu in 1998,https://www.osl.no,https://facebook.com/OsloAirport,https://twitter.com/OsloLufthavn,https://youtube.com/osloairport,https://linkedin.com/company/avinor,kundeservice@osl.no,+47-64-81-20-00,OSL,ENGM,"Gardermoen, 2061 Gardermoen",https://www.osl.no/images/logo-osl.png,https://www.osl.no/images/bg-osl-winter.jpg,"https://maps.google.com/?q=60.1939,11.1004"
